# Created by Octave 3.6.1, Fri Apr 20 13:29:48 2012 PDT <charlie@yukawa>
# name: cpress
# type: matrix
# rows: 105910
# columns: 2
 97644780 1019.58
 97644840 1019.58
 97644900 1019.58
 97644960 1019.61
 97645020 1019.65
 97645080 1019.68
 97645140 1019.68
 97645200 1019.61
 97645260 1019.61
 97645320 1019.58
 97645380 1019.58
 97645440 1019.54
 97645500 1019.54
 97645560 1019.65
 97645620 1019.65
 97645680 1019.58
 97645740 1019.58
 97645800 1019.61
 97645860 1019.61
 97645920 1019.61
 97645980 1019.61
 97646040 1019.58
 97646100 1019.61
 97646160 1019.61
 97646220 1019.61
 97646280 1019.65
 97646340 1019.61
 97646400 1019.65
 97646460 1019.68
 97646520 1019.71
 97646580 1019.68
 97646640 1019.71
 97646700 1019.71
 97646760 1019.68
 97646820 1019.68
 97646880 1019.68
 97646940 1019.65
 97647000 1019.71
 97647060 1019.68
 97647120 1019.65
 97647180 1019.68
 97647240 1019.71
 97647300 1019.71
 97647360 1019.71
 97647420 1019.71
 97647480 1019.71
 97647540 1019.68
 97647600 1019.71
 97647660 1019.75
 97647720 1019.81
 97647780 1019.81
 97647840 1019.78
 97647900 1019.78
 97647960 1019.78
 97648020 1019.78
 97648080 1019.78
 97648140 1019.75
 97648200 1019.78
 97648260 1019.78
 97648320 1019.81
 97648380 1019.81
 97648440 1019.78
 97648500 1019.81
 97648560 1019.75
 97648620 1019.78
 97648680 1019.78
 97648740 1019.81
 97648800 1019.85
 97648860 1019.85
 97648920 1019.85
 97648980 1019.88
 97649040 1019.92
 97649100 1019.88
 97649160 1019.92
 97649220 1019.92
 97649280 1019.88
 97649340 1019.88
 97649400 1019.85
 97649460 1019.88
 97649520 1019.92
 97649580 1019.88
 97649640 1019.92
 97649700 1019.85
 97649760 1019.85
 97649820 1019.88
 97649880 1019.81
 97649940 1019.88
 97650000 1019.85
 97650060 1019.92
 97650120 1019.92
 97650180 1019.88
 97650240 1019.88
 97650300 1019.85
 97650360 1019.81
 97650420 1019.78
 97650480 1019.78
 97650540 1019.75
 97650600 1019.75
 97650660 1019.78
 97650720 1019.75
 97650780 1019.78
 97650840 1019.81
 97650900 1019.78
 97650960 1019.75
 97651020 1019.78
 97651080 1019.78
 97651140 1019.78
 97651200 1019.81
 97651260 1019.75
 97651320 1019.78
 97651380 1019.78
 97651440 1019.78
 97651500 1019.85
 97651560 1019.85
 97651620 1019.88
 97651680 1019.92
 97651740 1019.88
 97651800 1019.88
 97651860 1019.85
 97651920 1019.85
 97651980 1019.95
 97652040 1019.98
 97652100 1020.02
 97652160 1019.98
 97652220 1019.98
 97652280 1019.98
 97652340 1019.95
 97652400 1019.95
 97652460 1019.98
 97652520 1019.95
 97652580 1019.98
 97652640 1020.05
 97652700 1020.09
 97652760 1020.12
 97652820 1020.05
 97652880 1019.98
 97652940 1020.02
 97653000 1019.98
 97653060 1019.98
 97653120 1019.98
 97653180 1019.95
 97653240 1020.02
 97653300 1019.98
 97653360 1020.09
 97653420 1020.09
 97653480 1020.05
 97653540 1020.09
 97653600 1020.05
 97653660 1020.09
 97653720 1020.09
 97653780 1020.09
 97653840 1020.05
 97653900 1020.05
 97653960 1020.05
 97654020 1020.05
 97654080 1020.05
 97654140 1020.05
 97654200 1020.02
 97654260 1020.02
 97654320 1020.02
 97654380 1020.05
 97654440 1020.05
 97654500 1020.09
 97654560 1020.05
 97654620 1020.02
 97654680 1020.05
 97654740 1020.02
 97654800 1020.05
 97654860 1020.09
 97654920 1020.09
 97654980 1020.12
 97655040 1020.12
 97655100 1020.12
 97655160 1020.15
 97655220 1020.12
 97655280 1020.09
 97655340 1020.09
 97655400 1020.05
 97655460 1020.12
 97655520 1020.09
 97655580 1020.09
 97655640 1020.05
 97655700 1020.12
 97655760 1020.15
 97655820 1020.12
 97655880 1020.12
 97655940 1020.09
 97656000 1020.09
 97656060 1020.09
 97656120 1020.05
 97656180 1020.09
 97656240 1020.09
 97656300 1020.09
 97656360 1020.05
 97656420 1020.05
 97656480 1020.05
 97656540 1020.05
 97656600 1020.09
 97656660 1020.05
 97656720 1020.09
 97656780 1020.12
 97656840 1020.05
 97656900 1020.05
 97656960 1020.05
 97657020 1020.05
 97657080 1019.98
 97657140 1019.98
 97657200 1020.02
 97657260 1020.02
 97657320 1020.09
 97657380 1020.09
 97657440 1020.09
 97657500 1020.09
 97657560 1020.12
 97657620 1020.05
 97657680 1020.09
 97657740 1020.12
 97657800 1020.09
 97657860 1020.12
 97657920 1020.09
 97657980 1020.15
 97658040 1020.09
 97658100 1020.12
 97658160 1020.09
 97658220 1020.15
 97658280 1020.12
 97658340 1020.15
 97658400 1020.15
 97658460 1020.12
 97658520 1020.12
 97658580 1020.12
 97658640 1020.12
 97658700 1020.15
 97658760 1020.12
 97658820 1020.09
 97658880 1020.09
 97658940 1020.12
 97659000 1020.15
 97659060 1020.19
 97659120 1020.15
 97659180 1020.15
 97659240 1020.19
 97659300 1020.12
 97659360 1020.15
 97659420 1020.19
 97659480 1020.22
 97659540 1020.25
 97659600 1020.32
 97659660 1020.29
 97659720 1020.25
 97659780 1020.19
 97659840 1020.22
 97659900 1020.22
 97659960 1020.22
 97660020 1020.25
 97660080 1020.25
 97660140 1020.25
 97660200 1020.29
 97660260 1020.29
 97660320 1020.29
 97660380 1020.25
 97660440 1020.32
 97660500 1020.29
 97660560 1020.22
 97660620 1020.19
 97660680 1020.22
 97660740 1020.19
 97660800 1020.19
 97660860 1020.22
 97660920 1020.22
 97660980 1020.29
 97661040 1020.25
 97661100 1020.25
 97661160 1020.25
 97661220 1020.29
 97661280 1020.22
 97661340 1020.29
 97661400 1020.29
 97661460 1020.32
 97661520 1020.32
 97661580 1020.32
 97661640 1020.22
 97661700 1020.25
 97661760 1020.29
 97661820 1020.29
 97661880 1020.29
 97661940 1020.22
 97662000 1020.22
 97662060 1020.22
 97662120 1020.25
 97662180 1020.29
 97662240 1020.32
 97662300 1020.29
 97662360 1020.32
 97662420 1020.29
 97662480 1020.29
 97662540 1020.25
 97662600 1020.29
 97662660 1020.29
 97662720 1020.22
 97662780 1020.29
 97662840 1020.25
 97662900 1020.25
 97662960 1020.25
 97663020 1020.25
 97663080 1020.25
 97663140 1020.29
 97663200 1020.29
 97663260 1020.36
 97663320 1020.29
 97663380 1020.29
 97663440 1020.29
 97663500 1020.29
 97663560 1020.29
 97663620 1020.36
 97663680 1020.25
 97663740 1020.32
 97663800 1020.29
 97663860 1020.29
 97663920 1020.29
 97663980 1020.29
 97664040 1020.29
 97664100 1020.32
 97664160 1020.32
 97664220 1020.32
 97664280 1020.29
 97664340 1020.25
 97664400 1020.32
 97664460 1020.25
 97664520 1020.29
 97664580 1020.32
 97664640 1020.32
 97664700 1020.32
 97664760 1020.29
 97664820 1020.32
 97664880 1020.32
 97664940 1020.32
 97665000 1020.36
 97665060 1020.32
 97665120 1020.36
 97665180 1020.32
 97665240 1020.36
 97665300 1020.39
 97665360 1020.36
 97665420 1020.29
 97665480 1020.29
 97665540 1020.29
 97665600 1020.39
 97665660 1020.36
 97665720 1020.32
 97665780 1020.32
 97665840 1020.32
 97665900 1020.32
 97665960 1020.36
 97666020 1020.36
 97666080 1020.32
 97666140 1020.36
 97666200 1020.36
 97666260 1020.36
 97666320 1020.29
 97666380 1020.29
 97666440 1020.29
 97666500 1020.29
 97666560 1020.25
 97666620 1020.29
 97666680 1020.25
 97666740 1020.25
 97666800 1020.15
 97666860 1020.15
 97666920 1020.22
 97666980 1020.15
 97667040 1020.15
 97667100 1020.15
 97667160 1020.15
 97667220 1020.12
 97667280 1020.15
 97667340 1020.12
 97667400 1020.12
 97667460 1020.12
 97667520 1020.12
 97667580 1020.05
 97667640 1020.05
 97667700 1020.09
 97667760 1020.02
 97667820 1020.02
 97667880 1019.98
 97667940 1019.98
 97668000 1020.02
 97668060 1019.98
 97668120 1019.95
 97668180 1019.98
 97668240 1019.98
 97668300 1019.95
 97668360 1019.92
 97668420 1019.92
 97668480 1019.92
 97668540 1019.92
 97668600 1019.95
 97668660 1019.92
 97668720 1019.85
 97668780 1019.85
 97668840 1019.85
 97668900 1019.85
 97668960 1019.85
 97669020 1019.88
 97669080 1019.88
 97669140 1019.88
 97669200 1019.85
 97669260 1019.85
 97669320 1019.85
 97669380 1019.88
 97669440 1019.88
 97669500 1019.85
 97669560 1019.85
 97669620 1019.88
 97669680 1019.88
 97669740 1019.85
 97669800 1019.81
 97669860 1019.81
 97669920 1019.81
 97669980 1019.81
 97670040 1019.85
 97670100 1019.78
 97670160 1019.75
 97670220 1019.78
 97670280 1019.81
 97670340 1019.75
 97670400 1019.68
 97670460 1019.68
 97670520 1019.68
 97670580 1019.71
 97670640 1019.71
 97670700 1019.68
 97670760 1019.68
 97670820 1019.68
 97670880 1019.68
 97670940 1019.71
 97671000 1019.75
 97671060 1019.75
 97671120 1019.75
 97671180 1019.71
 97671240 1019.68
 97671300 1019.71
 97671360 1019.68
 97671420 1019.65
 97671480 1019.61
 97671540 1019.61
 97671600 1019.68
 97671660 1019.68
 97671720 1019.65
 97671780 1019.61
 97671840 1019.61
 97671900 1019.58
 97671960 1019.54
 97672020 1019.48
 97672080 1019.54
 97672140 1019.51
 97672200 1019.54
 97672260 1019.51
 97672320 1019.48
 97672380 1019.48
 97672440 1019.48
 97672500 1019.41
 97672560 1019.41
 97672620 1019.37
 97672680 1019.34
 97672740 1019.37
 97672800 1019.37
 97672860 1019.37
 97672920 1019.34
 97672980 1019.31
 97673040 1019.34
 97673100 1019.31
 97673160 1019.27
 97673220 1019.27
 97673280 1019.31
 97673340 1019.24
 97673400 1019.2
 97673460 1019.27
 97673520 1019.17
 97673580 1019.14
 97673640 1019.1
 97673700 1019.07
 97673760 1019.07
 97673820 1019.07
 97673880 1019.04
 97673940 1019
 97674000 1019
 97674060 1019
 97674120 1018.97
 97674180 1018.97
 97674240 1018.97
 97674300 1018.93
 97674360 1018.93
 97674420 1018.9
 97674480 1018.93
 97674540 1018.97
 97674600 1018.93
 97674660 1018.93
 97674720 1018.93
 97674780 1018.93
 97674840 1018.9
 97674900 1018.87
 97674960 1018.87
 97675020 1018.83
 97675080 1018.83
 97675140 1018.83
 97675200 1018.76
 97675260 1018.73
 97675320 1018.7
 97675380 1018.76
 97675440 1018.73
 97675500 1018.7
 97675560 1018.7
 97675620 1018.7
 97675680 1018.7
 97675740 1018.7
 97675800 1018.7
 97675860 1018.7
 97675920 1018.7
 97675980 1018.66
 97676040 1018.7
 97676100 1018.66
 97676160 1018.66
 97676220 1018.66
 97676280 1018.66
 97676340 1018.63
 97676400 1018.6
 97676460 1018.53
 97676520 1018.49
 97676580 1018.53
 97676640 1018.49
 97676700 1018.49
 97676760 1018.46
 97676820 1018.43
 97676880 1018.46
 97676940 1018.43
 97677000 1018.46
 97677060 1018.43
 97677120 1018.43
 97677180 1018.39
 97677240 1018.36
 97677300 1018.36
 97677360 1018.36
 97677420 1018.36
 97677480 1018.36
 97677540 1018.32
 97677600 1018.36
 97677660 1018.32
 97677720 1018.29
 97677780 1018.32
 97677840 1018.29
 97677900 1018.26
 97677960 1018.22
 97678020 1018.22
 97678080 1018.19
 97678140 1018.16
 97678200 1018.16
 97678260 1018.16
 97678320 1018.16
 97678380 1018.19
 97678440 1018.12
 97678500 1018.12
 97678560 1018.12
 97678620 1018.09
 97678680 1018.16
 97678740 1018.09
 97678800 1018.09
 97678860 1018.05
 97678920 1018.02
 97678980 1018.02
 97679040 1018.02
 97679100 1018.02
 97679160 1018.02
 97679220 1018.02
 97679280 1018.02
 97679340 1017.99
 97679400 1018.02
 97679460 1017.99
 97679520 1017.99
 97679580 1017.95
 97679640 1017.95
 97679700 1017.95
 97679760 1017.95
 97679820 1017.95
 97679880 1017.95
 97679940 1017.95
 97680000 1017.92
 97680060 1017.92
 97680120 1017.92
 97680180 1017.92
 97680240 1017.95
 97680300 1017.92
 97680360 1017.92
 97680420 1017.88
 97680480 1017.92
 97680540 1017.88
 97680600 1017.88
 97680660 1017.95
 97680720 1017.95
 97680780 1017.85
 97680840 1017.92
 97680900 1017.88
 97680960 1017.88
 97681020 1017.85
 97681080 1017.85
 97681140 1017.85
 97681200 1017.88
 97681260 1017.85
 97681320 1017.88
 97681380 1017.88
 97681440 1017.88
 97681500 1017.85
 97681560 1017.85
 97681620 1017.85
 97681680 1017.82
 97681740 1017.82
 97681800 1017.82
 97681860 1017.75
 97681920 1017.75
 97681980 1017.82
 97682040 1017.75
 97682100 1017.78
 97682160 1017.75
 97682220 1017.75
 97682280 1017.75
 97682340 1017.71
 97682400 1017.75
 97682460 1017.75
 97682520 1017.75
 97682580 1017.75
 97682640 1017.75
 97682700 1017.71
 97682760 1017.71
 97682820 1017.71
 97682880 1017.71
 97682940 1017.75
 97683000 1017.78
 97683060 1017.78
 97683120 1017.75
 97683180 1017.78
 97683240 1017.75
 97683300 1017.75
 97683360 1017.78
 97683420 1017.75
 97683480 1017.75
 97683540 1017.75
 97683600 1017.71
 97683660 1017.75
 97683720 1017.78
 97683780 1017.78
 97683840 1017.75
 97683900 1017.71
 97683960 1017.78
 97684020 1017.71
 97684080 1017.75
 97684140 1017.75
 97684200 1017.71
 97684260 1017.75
 97684320 1017.75
 97684380 1017.78
 97684440 1017.71
 97684500 1017.75
 97684560 1017.75
 97684620 1017.75
 97684680 1017.75
 97684740 1017.75
 97684800 1017.75
 97684860 1017.75
 97684920 1017.75
 97684980 1017.78
 97685040 1017.78
 97685100 1017.82
 97685160 1017.85
 97685220 1017.82
 97685280 1017.82
 97685340 1017.82
 97685400 1017.78
 97685460 1017.78
 97685520 1017.82
 97685580 1017.75
